sample,matched_correct_relpath,rank_of_correct,total_candidates
1067_z.npy,clock_test_1067_z.npy,5,5
1154_z.npy,clock_test_1154_z.npy,1,5
1497_z.npy,clock_test_1497_z.npy,2,5
1648_z.npy,clock_test_1648_z.npy,5,5
165_z.npy,clock_test_165_z.npy,5,5
1660_z.npy,clock_test_1660_z.npy,2,5
175_z.npy,clock_test_175_z.npy,4,5
1787_z.npy,clock_test_1787_z.npy,4,5
1947_z.npy,clock_test_1947_z.npy,1,5
1963_z.npy,clock_test_1963_z.npy,4,5
1986_z.npy,clock_test_1986_z.npy,2,5
2274_z.npy,clock_test_2274_z.npy,3,5
2282_z.npy,clock_test_2282_z.npy,2,5
319_z.npy,clock_test_319_z.npy,5,5
559_z.npy,clock_test_559_z.npy,1,5
633_z.npy,clock_test_633_z.npy,1,5
696_z.npy,clock_test_696_z.npy,1,5
743_z.npy,clock_test_743_z.npy,1,5
76_z.npy,clock_test_76_z.npy,1,5
977_z.npy,clock_test_977_z.npy,4,5
