sample_folder,original_index,original_rank,original_similarity
282,282,1607,-0.031811
690,690,542,0.066225
784,784,2430,-0.165412
875,875,1609,-0.032682
883,883,1444,-0.019363
900,900,1438,-0.017685
1058,1058,13,0.223660
1120,1120,1958,-0.065711
1258,1258,1540,-0.026102
1408,1408,1827,-0.057292
1428,1428,1463,-0.021044
1731,1731,2208,-0.105609
1753,1753,2258,-0.115813
1855,1855,315,0.101772
1999,1999,1572,-0.028309
2256,2256,2278,-0.118095
2299,2299,379,0.091583
2339,2339,567,0.062940
2377,2377,509,0.077608
2458,2458,209,0.122038
